,movie_name,Directed by,Story by,Based on,Produced by,Starring,Music by,Productioncompany,Distributed by,Release dates,Running time,Country,Language,Budget,Box office,Narrated by,Cinematography,Release date,Written by,Edited by,Screenplay by,Countries,Productioncompanies
0,Snow White and the Seven Dwarfs (1937 film),"['David Hand', 'Perce Pearce', 'Larry Morey', 'Wilfred Jackson', 'Ben Sharpsteen']","['Ted Sears', 'Earl Hurd', 'Merrill De Maris']","['Snow White', 'Brothers Grimm']",['Walt Disney'],"['Adriana Caselotti', 'Roy Atwell', 'Pinto Colvig', 'Otis Harlan', 'Scotty Mattraw', 'Billy Gilbert', 'Eddie Collins']","['Frank Churchill', 'Leigh Harline', 'Paul Smith']",['Walt Disney Productions'],['RKO Radio Pictures'],['Carthay Circle Theatre'],['83 minutes'],['United States'],['English'],['$1.5 million[1]'],['$418 million[2]'],,,,,,,,
1,Pinocchio (1940 film),"['Ben Sharpsteen', 'Hamilton Luske', 'Norman Ferguson', 'Jack Kinney', 'Wilfred Jackson', 'T. Hee']","['Ted Sears', 'Erdman Penner', 'Ted Sears\nOtto Englander\nWebb Smith\nWilliam Cottrell\nJoseph Sabo\nErdman Penner[1]\nAurelius Battaglia', 'Aurelius Battaglia']","['The Adventures of Pinocchio', 'Carlo Collodi']",['Walt Disney'],"['Cliff Edwards', 'Dickie Jones', 'Christian Rub', 'Walter Catlett', 'Charles Judels', 'Evelyn Venable', 'Frankie Darro']","['Leigh Harline', 'Ned Washington', 'Paul J. Smith']",['Walt Disney Productions'],['RKO Radio Pictures'],"['Center Theatre', 'February\xa07,\xa01940\xa0(1940-02-07) (Center Theatre)[2]\nFebruary\xa023,\xa01940\xa0(1940-02-23) (United States)[3]', 'February\xa07,\xa01940\xa0(1940-02-07) (Center Theatre)[2]\nFebruary\xa023,\xa01940\xa0(1940-02-23) (United States)[3]']",['88 minutes'],['United States'],['English'],['$2.6 million[4]'],['$164\xa0million'],,,,,,,,
2,Fantasia (1940 film),"['James Algar', 'Ben Sharpsteen', 'David D. Hand', 'Hamilton Luske', 'Ford Beebe', 'T. Hee', 'Norman Ferguson', 'Wilfred Jackson']","['Joe Grant', 'Dick Huemer']",,['Walt Disney'],"['Leopold Stokowski', 'Deems Taylor']",['See plot'],['Walt Disney Productions'],['RKO Radio Pictures'],,['126 minutes[1]'],['United States'],['English'],"['$2.28 million[2][3]', '$2.28 million[2][3]']","['$76.4–$83.3 million (United States and Canada)[4][5]', '$76.4–$83.3 million (United States and Canada)[4][5]']",['Deems Taylor'],['James Wong Howe'],"['\nNovember\xa013,\xa01940\xa0(1940-11-13)\n']",,,,,
3,The Reluctant Dragon (1941 film),"['Alfred Werker', 'Hamilton Luske', 'Jack Cutting', 'Ub Iwerks', 'Jack Kinney']",,,['Walt Disney'],"['Robert Benchley', 'Frances Gifford', 'Nana Bryant']","['Frank Churchill', 'Larry Morey']",['Walt Disney Productions'],['RKO Radio Pictures'],,['74 minutes'],['United States'],['English'],"['$600,000[2]']","['$960,000 (worldwide rentals) [3]']",,['Bert Glennon'],"['June\xa027,\xa01941\xa0(1941-06-27)[1]']","['Ted Sears', 'Al Perkins', 'Larry Clemmons', 'Bill Cottrell', 'Harry Clork', 'Robert Benchley', 'Kenneth Grahame', 'T. Hee', 'Joe Grant', 'Dick Huemer']",['Paul Weatherwax'],,,
4,Dumbo,"['Ben Sharpsteen', 'Norman Ferguson', 'Wilfred Jackson', 'Jack Kinney']","['Joe Grant', 'Dick Huemer']",['Helen Aberson'],['Walt Disney'],"['Edward Brophy', 'Verna Felton', 'Cliff Edwards', 'Herman Bing', 'Sterling Holloway', 'Hall Johnson Choir']","['Frank Churchill', 'Oliver Wallace']",['Walt Disney Productions'],['RKO Radio Pictures'],"['October\xa023,\xa01941\xa0(1941-10-23) (New York City)[1]\nOctober\xa031,\xa01941\xa0(1941-10-31) (U.S.)']",['64 minutes'],['United States'],['English'],"['$950,000[2]']","['>$1.3 million (est. United States/Canada rentals, 1941)[3]']",['John McLeish'],,,,,,,
5,Bambi,"['David Hand', 'James Algar']","['Perce Pearce', 'Larry Morey', 'Vernon Stallings', 'Melvin Shaw', 'Carl Fallberg', 'Ralph Wright']","['Bambi, a Life in the Woods', 'Felix Salten']",['Walt Disney'],['see below'],"['Frank Churchill', 'Edward H. Plumb']",['Walt Disney Productions'],['RKO Radio Pictures'],"['London', 'August\xa09,\xa01942\xa0(1942-08-09) (London)\nAugust\xa021,\xa01942\xa0(1942-08-21) (United States)[1]']",['70 minutes'],['United States'],['English'],"['$858,000[2]']",['$267.4 million[3]'],,,,,,,,
6,Saludos Amigos,"['Norman Ferguson', 'Wilfred Jackson', 'Jack Kinney', 'Hamilton Luske']","['Homer Brightman', 'Joe Grant', 'Ted Sears', 'Roy Williams', 'Ralph Wright']",,['Walt Disney'],"['Lee Blair', 'Mary Blair', 'Pinto Colvig', 'Walt Disney', 'Norman Ferguson', 'Frank Graham', 'Clarence Nash', 'José Oliveira', 'Frank Thomas']","['Paul Smith', 'Edward H. Plumb']",['Walt Disney Productions'],['RKO Radio Pictures'],"['August\xa024,\xa01942\xa0(1942-08-24) (Rio de Janeiro)\nFebruary\xa06,\xa01943\xa0(1943-02-06) (Boston)\nFebruary\xa019,\xa01943\xa0(1943-02-19) (United States)[1]']",['42 minutes'],['United States'],,,['$1 million (worldwide rentals) [2]'],,,,,,,,
7,Victory Through Air Power (film),"['James Algar', 'Clyde Geronimi', 'Jack Kinney', 'H.C. Potter']",,"['Victory Through Air Power', 'Maj. Alexander P. Seversky']",['Walt Disney'],['Alexander de Seversky'],"['Edward H. Plumb', 'Paul J. Smith', 'Oliver Wallace']",['Walt Disney Productions'],['United Artists'],,['65 min'],['United States'],['English'],"['$788,000']","['$799,000']",['Art Baker'],['Ray Rennahan'],"['\nJuly\xa017,\xa01943\xa0(1943-07-17)\n']","['Perce Pearce', 'T. Hee']",['Jack Dennis'],,,
8,The Three Caballeros,"['Norman Ferguson', 'Clyde Geronimi', 'Jack Kinney', 'Harold Young']","['Ted Sears', 'Bill Peet', 'Ralph Wright', 'Roy Williams']",,['Walt Disney'],"['Joaquin Garay', 'Clarence Nash', 'José Oliveira', 'Aurora Miranda', 'Carmen Molina', 'Dora Luz']","['Edward H. Plumb', 'Paul J. Smith', 'Charles Wolcott']",['Walt Disney Productions'],['RKO Radio Pictures'],"['December\xa021,\xa01944\xa0(1944-12-21) (Mexico City)\nFebruary\xa03,\xa01945\xa0(1945-02-03) (United States)[1]']",['71 minutes'],['United States'],,,['$3.355 million (worldwide rentals)[2]'],,,,,,,,
9,Make Mine Music,"['Jack Kinney', 'Clyde Geronimi', 'Hamilton Luske', 'Joshua Meador']","['Homer Brightman', 'Eric Gurney', 'T. Hee', 'Sylvia Holland', 'Dick Huemer', 'Dick Kelsey', 'Dick Kinney', 'Jesse Marsh', 'Erdman Penner', 'Roy Williams']","['Casey at the Bat', 'Ernest Thayer', 'Peter and the Wolf', 'Sergei Prokofiev']","['Walt Disney', 'Joe Grant']","['Nelson Eddy', 'Dinah Shore', 'Benny Goodman', 'The Andrews Sisters', 'Jerry Colonna', 'Andy Russell', 'Sterling Holloway', 'David Lichine', 'Tania Riabouchinskaya', 'The Pied Pipers', ""The King's Men"", 'The Ken Darby Singers']","['Eliot Daniel', 'Ken Darby', 'Charles Wolcott', 'Oliver Wallace', 'Edward Plumb']",['Walt Disney Productions'],['RKO Radio Pictures'],"['April\xa020,\xa01946\xa0(1946-04-20) (New York City)[1]\nAugust\xa015,\xa01946\xa0(1946-08-15) (United States)[1]', 'April\xa020,\xa01946\xa0(1946-04-20) (New York City)[1]\nAugust\xa015,\xa01946\xa0(1946-08-15) (United States)[1]']",['75 minutes'],['United States'],['English'],['$1.35 million[2]'],['$3.275 million (worldwide rentals)[3]'],,,,,,,,
